location,bhk,bath,total_sqft,encoded_loc,price
Kumarapalli,2,2,1240.0,723,52.6
Kasturi Nagar,5,5,1650.0,670,450.0
Kambipura,2,2,883.0,647,39.0
Outer Ring Road East,3,2,1500.0,896,97.0
Marathahalli,3,3,1730.0,796,139.0
Kasavanhalli,3,3,1915.0,667,80.0
Whitefield,3,3,1545.0,1247,79.0
Marenahalli,3,4,1865.0,798,140.0
Hebbal Kempapura,2,2,1150.0,511,40.0
HAL 3rd Stage,2,2,1200.0,484,49.0
Kengeri,2,2,963.0,685,40.0
Marsur,3,3,1200.0,801,120.0
Basavangudi,4,4,2600.0,221,260.0
Kaikondrahalli,4,4,1700.0,636,108.0
Lingadheeranahalli,3,3,1682.0,754,120.0
Yelahanka,3,2,1371.0,1256,65.0
Hennur Road,2,2,901.0,519,49.5
Vishwapriya Layout,7,7,600.0,1231,73.0
Ambalipura,3,3,1730.0,106,120.0
Konanakunte,4,4,1200.0,705,125.0
EPIP Zone,3,3,1500.0,412,102.0
Sarjapur  Road,4,6,3785.0,1034,280.0
Nagawara Junction,4,4,3500.0,851,245.0
Lingarajapuram,2,2,1203.0,755,59.86
Horamavu Banaswadi,2,2,1357.0,531,54.0
Vasantha Vallabha Nagar,3,3,1600.0,1190,76.0
Yelahanka New Town,1,1,350.0,1257,13.5
Varthur,3,3,1665.0,1185,53.0
Ramamurthy Nagar,3,3,1400.0,985,200.0
Sarjapur  Road,1,1,835.0,1034,46.95
Chandra Layout,2,3,815.0,303,160.0
Haralur Road,3,2,1444.0,503,80.0
Kanakapura,2,2,1277.0,655,55.0
Lingadheeranahalli,3,3,1521.0,754,94.71
Maithri Layout,2,2,1134.0,776,40.0
Vasanthapura,2,2,995.0,1191,34.82
Old Madras Road,3,5,2760.0,891,157.0
Marathahalli,2,1,1325.0,796,92.0
Kothanur,6,6,4000.0,713,150.0
Marathahalli,3,3,1525.0,796,90.0
Raja Rajeshwari Nagar 5th Stage,3,2,1320.0,968,73.0
Electronics City Phase 1,1,1,650.0,419,23.0
Old Airport Road,3,2,1858.0,890,167.0
Electronic City,2,2,1150.0,414,38.0
Electronic City Phase II,2,2,769.0,416,40.0
Electronic City,3,3,1571.0,414,105.0
Hennur Road,3,3,1445.0,519,86.56
Hosur Road,3,2,1590.0,541,135.0
Bommasandra,2,2,902.0,268,49.0
Sarjapur,3,3,2238.0,1033,140.0
Electronic City,2,2,1090.0,414,31.49
Yelahanka,3,3,1712.0,1256,82.0
Haralur Road,2,2,1088.0,503,68.0
Somasundara Palya,3,3,1575.0,1084,63.1
Nanjappa Garden,6,6,2150.0,858,205.0
Kundalahalli,3,3,1920.0,728,150.0
Margondanahalli,2,2,1000.0,799,57.0
Chennammana Kere,2,2,1100.0,308,56.1
Electronic City,2,2,1089.0,414,45.0
Horamavu Agara,2,2,1106.0,530,43.09
Kengeri,2,2,927.0,685,37.0
Kanakpura Road,2,2,1339.0,661,58.0
Thanisandra,1,1,923.0,1143,45.69
Sarjapur  Road,3,3,2900.0,1034,285.0
Lakshminarayana Pura,2,2,1175.0,742,75.0
Thubarahalli,2,2,975.0,1154,55.0
Hebbal,3,4,2400.0,510,180.0
Subramanyapura,3,3,1330.0,1110,72.0
Thanisandra,2,2,1183.0,1143,59.74
Harlur,3,3,1758.0,506,133.0
Nagarbhavi,3,3,1200.0,844,265.0
Hebbal,3,2,1255.0,510,77.68
Nagadevanahalli,3,4,600.0,840,110.0
Pai Layout,2,2,1100.0,903,50.0
Ramamurthy Nagar,2,2,1170.0,985,46.8
Vayunandana Layout,5,5,2400.0,1194,120.0
Raja Rajeshwari Nagar,3,3,1530.0,967,51.77
Hebbal,2,2,1420.0,510,107.0
Geetanjali Layout,4,4,1200.0,447,300.0
7th Phase JP Nagar,6,6,1045.0,70,160.0
Kanakpura Road,3,3,1591.0,661,115.0
7th Phase JP Nagar,3,3,1680.0,70,120.0
Kenchenhalli,2,3,675.0,684,52.0
Hoodi,2,2,1055.0,527,57.63
Iblur Village,3,3,1918.0,556,129.0
Sarjapur  Road,2,2,1280.0,1034,76.0
Nagarbhavi,3,3,1560.0,844,66.0
Sarjapur  Road,2,2,1145.0,1034,49.5
Talaghattapura,3,3,2106.0,1136,126.0
"EPIP AREA, WHITEFIELD",3,3,1801.0,411,139.0
Seegehalli,5,5,1200.0,1049,120.0
Rajaji Nagar,2,3,1718.0,971,288.0
Whitefield,3,3,1306.0,1247,54.65
Hebbal,2,2,1320.0,510,92.0
1st Stage Domlur,3,2,1350.0,30,65.0
"RMV extension stage 2, rmv extension",4,4,2990.0,952,324.0
Kalyan nagar,4,5,3800.0,643,300.0
Bannerghatta Road,3,2,1344.0,214,42.0
Bannerghatta Road,3,3,1893.0,214,100.0
Chandapura,3,2,1107.0,302,43.0
R.T. Nagar,9,10,1200.0,943,180.0
Lakshminarayana Pura,2,2,1190.0,742,75.0
Whitefield,2,2,1000.0,1247,35.0
Kalhalli,2,2,2400.0,639,160.0
Kumaraswami Layout,2,2,1000.0,724,48.5
Jalahalli,3,3,2113.0,586,155.0
KR Puram,2,2,1100.0,623,46.0
Sector 2 HSR Layout,5,4,1200.0,1044,160.0
Harlur,4,4,1884.0,506,120.0
Electronic City,2,2,1110.0,414,40.0
Kudlu,2,2,1027.0,718,43.0
Tavarekere,3,3,1250.0,1139,40.0
Sarjapur  Road,3,3,1470.0,1034,62.0
Kamakshipalya,2,2,1150.0,644,75.0
Hadosiddapura,3,3,1200.0,493,165.0
Kudlu Gate,1,1,703.0,719,52.0
Vijaya Bank Colony,3,2,1400.0,1214,62.0
Bellandur,2,2,1195.0,234,51.0
Narayanapura,2,2,1302.0,864,69.1
Begur Road,3,3,1583.0,230,74.4
Kumarapalli,3,2,1488.0,723,60.0
Lakshmi Layout,4,5,600.0,740,85.0
Kammasandra,3,2,1385.0,651,34.63
Whitefield,4,4,3262.0,1247,260.0
Electronic City,3,3,1600.0,414,104.0
Old Airport Road,2,2,1150.0,890,90.0
Lakkasandra,9,9,4500.0,738,166.0
Sarjapur  Road,2,2,1263.0,1034,78.0
KR Puram,7,8,1200.0,623,110.0
Kanakpura Road,2,2,1299.0,661,85.0
Banashankari,2,2,1330.0,192,78.0
Devanahalli,3,2,1282.0,362,52.43
"JP Nagar 8th Phase, ",3,3,1853.0,574,82.0
Kachanayakanahalli,2,2,861.0,626,35.0
Bannerghatta Road,3,3,1600.0,214,95.0
Nagaraja Garden,2,2,1256.0,843,62.8
Tejaswini Nagar,3,2,1390.0,1141,80.0
Ashwath Nagar,3,2,1550.0,145,90.0
1 Annasandrapalya,11,6,1200.0,14,150.0
Hebbal,2,2,919.0,510,49.0
Margondanahalli,3,3,1625.0,799,80.0
Gunjur,2,2,1195.0,481,44.0
Domlur,6,4,2400.0,399,600.0
Yelenahalli,2,2,1159.0,1259,60.0
Whitefield,3,3,1386.0,1247,57.46
Harlur,2,2,1197.0,506,79.0
Old Airport Road,4,4,2690.0,890,191.0
Jigani,4,2,4303.5,603,226.0
Bommasandra,3,2,1295.0,268,50.28
Huskur,3,2,1310.0,549,37.83
Whitefield,2,2,1132.0,1247,79.28
6th block Koramangala,3,3,2350.0,66,400.0
4th Block Koramangala,4,4,2400.0,55,500.0
Hebbal,3,3,1645.0,510,135.0
Whitefield,2,2,1200.0,1247,45.84
Whitefield,4,4,3000.0,1247,330.0
Marathahalli,3,3,1937.0,796,140.0
Doddathoguru,2,2,1015.0,393,33.5
Nagadevanahalli,2,2,1080.0,840,39.0
Kathriguppe,3,2,1350.0,672,80.99
Kengeri Satellite Town,3,2,1149.0,687,29.0
Kothanur,2,2,1185.0,713,59.0
Domlur,3,3,1720.0,399,135.0
Hebbal,3,3,2080.0,510,175.0
Tindlu,3,3,1500.0,1160,87.0
Yelahanka,3,3,1566.0,1256,97.0
Rajaji Nagar,3,3,2386.0,971,334.0
KSRTC Layout,4,4,1500.0,624,110.0
KR Puram,2,2,1290.0,623,49.02
"JP nagar 9th Phase, ",3,3,1531.0,575,72.0
Keshava Nagar,3,3,1839.0,692,165.0
Dollars Layout,4,4,4200.0,397,760.0
Electronic City Phase II,3,2,1400.0,416,40.43
Electronic City,2,1,550.0,414,15.0
Whitefield,2,2,1140.0,1247,39.0
Tumkur Road,3,3,1343.5,1163,57.76
Banashankari Stage III,4,4,2000.0,201,100.0
Kaval Byrasandra,2,2,1100.0,675,46.0
Vignana Nagar,2,2,1200.0,1212,55.0
Bannerghatta,3,3,1618.0,213,68.0
Whitefield,4,5,2830.0,1247,160.0
Uttarahalli,3,2,1315.0,1174,74.0
Anandapura,2,2,1141.0,116,42.75
AECS Layout,2,2,1080.0,78,55.0
HBR Layout,2,2,1200.0,486,60.0
Varthur,2,2,1111.0,1185,41.88
NGR Layout,2,2,1022.0,835,45.9
Bannerghatta Road,2,2,1275.0,214,65.0
4th Block Jayanagar,2,2,900.0,54,70.0
Rachenahalli,2,2,1224.0,959,39.2
Battarahalli,2,2,1135.0,228,43.0
Rachenahalli,2,2,1050.0,959,52.1
Kudlu Gate,3,3,1535.0,719,86.0
Nagavarapalya,2,2,1392.0,850,130.0
Bellandur,2,2,1050.0,234,72.0
Hosa Road,3,3,1513.0,533,103.0
Gottigere,3,3,1621.0,463,72.0
Bannerghatta Road,2,2,892.0,214,39.0
Whitefield,2,2,1205.0,1247,40.0
Hebbal,3,3,1355.0,510,83.87
2nd Block Hrbr Layout,5,5,1250.0,36,300.0
Kuvempu Nagar,7,9,1650.0,732,345.0
Karnataka Shabarimala,4,6,1200.0,665,70.0
Indira Nagar,2,2,1400.0,560,168.0
Kengeri,2,2,726.0,685,35.0
Singena Agrahara,3,3,1500.0,1080,149.0
Hebbal,4,4,3895.0,510,405.0
Horamavu Agara,2,2,1079.0,530,41.0
Begur Road,2,2,1170.0,230,46.0
Doddathoguru,2,2,1104.0,393,39.0
Kanakpura Road,2,2,950.0,661,45.0
Hormavu,4,4,4818.0,532,390.0
Canara Bank Colony,3,2,1650.0,293,52.0
Kogilu,3,3,1559.0,704,127.0
Hanumagiri,2,2,1100.0,499,38.0
Benson Town,3,3,1750.0,240,150.0
Ramagondanahalli,2,2,1215.0,982,45.5
Talaghattapura,3,3,1868.0,1136,135.0
Electronic City,2,2,1130.0,414,32.63
Kanakpura Road,3,3,1570.0,661,64.5
Sarjapur  Road,3,3,1691.0,1034,98.0
Ardendale,5,3,4355.0,137,350.0
Hulimavu,2,2,1225.0,546,55.0
JP Nagar,3,3,1690.0,572,112.0
Thigalarapalya,2,2,1418.0,1148,103.0
Kasturi Nagar,4,3,1896.0,670,125.0
Sonnenahalli,1,1,605.0,1088,40.0
Begur Road,5,5,800.0,230,95.0
Electronic City Phase II,2,2,900.0,416,32.5
Cholanayakanahalli,1,2,750.0,332,50.0
Hoodi,3,3,780.0,527,62.0
Ananth Nagar,2,2,908.0,119,26.0
Sarjapur  Road,4,6,3416.5,1034,143.0
Thanisandra,4,4,3216.0,1143,226.0
BEML Layout,5,4,2400.0,167,225.0
Iblur Village,2,2,1400.0,556,68.0
Kudlu,2,2,1092.0,718,44.0
Hulimavu,2,2,1255.0,546,74.0
Electronic City,3,2,1500.0,414,100.0
Thanisandra,2,2,1296.0,1143,72.0
Horamavu Banaswadi,2,2,925.0,531,38.0
Raja Rajeshwari Nagar,2,2,1023.0,967,42.0
Seshadripuram,2,3,600.0,1052,75.0
Thanisandra,2,2,1020.0,1143,44.5
Choodasandra,3,3,1530.0,333,77.0
Gubbalala,3,3,1650.0,475,71.0
Vijaya Bank Layout,3,2,1605.0,1215,85.0
Hosakerehalli,2,2,1925.0,536,50.0
Kogilu,2,2,1190.0,704,50.66
Jakkur,3,3,1374.0,581,68.0
6th Phase JP Nagar,2,2,1140.0,65,65.0
Green Glen Layout,3,3,1725.0,471,130.0
Bisuvanahalli,3,2,1075.0,266,50.0
Kannamangala,3,3,1574.0,662,93.34
Sanjay nagar,1,1,965.0,1028,32.0
Marathahalli,3,3,1550.0,796,83.0
Akshayanagara West,2,2,1205.0,99,60.0
Kambipura,3,2,1082.0,647,55.0
Uttarahalli,3,2,1215.0,1174,52.85
Hebbal,4,5,2483.0,510,230.0
Prasanth Extension,2,3,1200.0,932,46.14
Chikkathoguru,1,1,1500.0,326,19.5
1st Block Koramangala,4,4,2360.0,28,600.0
Ardendale,4,4,3198.0,137,250.0
Kanakpura Road,3,3,1452.0,661,60.98
Electronic City Phase II,3,2,1329.0,416,41.0
Doctors Layout,2,2,1125.0,376,44.0
Anand nagar,2,2,1200.0,115,70.0
Sarjapur  Road,3,3,1350.0,1034,39.97
Uttarahalli,3,3,1312.5,1174,51.19
Hebbal,3,3,2600.0,510,195.0
West of Chord Road,2,2,1200.0,1244,160.0
Electronic City Phase II,3,3,1220.0,416,35.23
Pai Layout,2,2,1255.0,903,80.0
Keshava Nagar,3,3,1904.0,692,155.0
Somasundara Palya,2,2,1329.0,1084,70.0
Chandapura,2,2,1200.0,302,60.0
Murugeshpalya,3,3,2135.0,829,160.0
Ramakrishnappa Layout,3,4,2770.0,983,315.0
"Hoodi Circle, ",1,1,813.0,528,39.0
Junnasandra,4,4,3884.0,611,240.0
Doddaballapur,3,3,3876.0,381,300.0
Kalena Agrahara,2,2,800.0,638,30.0
Handenahalli,4,2,4750.0,498,120.0
Hormavu,3,3,1500.0,532,70.0
Bannerghatta Road,3,3,1880.0,214,95.0
Electronic City,3,2,1440.0,414,55.0
Akshaya Nagar,3,3,1575.0,96,90.0
Banagiri Nagar,3,2,1630.0,189,97.78
Yelahanka,3,3,1180.0,1256,55.0
Nagadevanahalli,2,2,1090.0,840,36.0
NGR Layout,2,2,1020.0,835,48.45
"Sarjapur Road, ",4,4,2425.0,1035,173.0
Varthur,2,2,1097.0,1185,33.82
Raja Rajeshwari Nagar,2,2,1070.0,967,50.0
Kumaraswami Layout,2,2,1000.0,724,58.0
Hoodi,8,8,1120.0,527,150.0
manyata tech park,2,2,1150.0,1283,56.0
Frazer Town,3,4,1900.0,425,145.0
Divya Unnathi Layout,2,2,1141.0,374,49.0
Jigani,2,2,937.0,603,44.0
Green Glen Layout,2,2,1075.0,471,60.0
Panathur,2,2,1000.0,909,65.3
Kasavanhalli,3,3,1450.0,667,77.41
Yelachenahalli,5,2,897.0,1255,85.0
Ashwathnagar,2,2,936.0,146,43.0
Gopalkrishna Nagar,2,2,1280.0,461,75.0
Babusapalaya,2,2,1050.0,179,45.0
Marathahalli,2,2,1350.0,796,86.0
Mallasandra,2,2,1325.0,780,70.0
Devanahalli,2,2,1174.0,362,59.0
Hosur Road,3,3,1890.0,541,162.0
Wilson Garden,1,1,735.0,1251,75.0
Sarvabhouma Nagar,1,1,500.0,1037,24.0
Gottigere,3,3,1304.0,463,80.0
Yelahanka,3,3,1653.0,1256,120.0
Bisuvanahalli,3,2,1075.0,266,52.0
7th Phase JP Nagar,2,3,1212.0,70,42.0
Hoysalanagar,2,2,1100.0,544,50.0
Rajaji Nagar,4,6,3436.0,971,500.0
SMV layout,3,4,1200.0,1011,145.0
Billekahalli,2,2,1140.0,262,50.0
Roopena Agrahara,2,2,1200.0,1003,100.0
Kudlu Gate,3,3,1532.0,719,83.0
Doddaballapur,3,4,2776.0,381,195.0
Padmanabhanagar,3,2,1531.0,902,75.0
Poorna Pragna Layout,3,2,1270.0,923,50.79
Uttarahalli,2,2,1325.0,1174,53.0
CQAL LAYOUT C BLOCK,3,3,1200.0,287,160.0
Electronic City,3,2,1156.0,414,44.0
R.T. Nagar,4,4,2000.0,943,320.0
Bannerghatta Road,2,2,1260.0,214,70.0
Vittasandra,2,2,1934.0,1237,90.0
Malleshpalya,2,2,1060.0,782,40.0
Kasavanhalli,3,3,1476.0,667,95.0
Murugeshpalya,2,2,1185.0,829,85.0
Channasandra Layout,3,2,1265.0,305,82.0
"Near Electronic City, ",4,5,3200.0,868,150.0
Virat Nagar,2,2,1196.0,1225,56.81
EPIP Zone,2,2,1280.0,412,69.0
Marathahalli,4,4,800.0,796,86.0
Hulimavu,2,2,1175.0,546,45.0
Kacharakanahalli,3,3,1850.0,627,98.0
Indira Nagar,4,4,2400.0,560,525.0
Whitefield,2,2,1195.0,1247,70.0
Ulsoor,3,3,2000.0,1171,185.0
Veerannapalya,7,4,600.0,1197,100.0
Hebbal Kempapura,4,5,800.0,511,155.0
Hosur Road,2,2,1180.0,541,36.5
Jakkur,2,2,1050.0,581,49.87
Electronic City,3,2,1400.0,414,40.44
Bagalakunte,4,4,2360.0,182,150.0
Banashankari stage 2,2,2,1030.0,204,77.25
Doddanakundi Industrial Area 2,2,1,1512.0,390,65.01
Subramanyapura,2,2,929.0,1110,48.0
Jigani,3,3,1252.0,603,61.0
Green Glen Layout,3,3,1485.0,471,115.0
Electronics City Phase 1,3,2,1124.0,419,55.0
TC Palaya,6,6,2400.0,1133,370.0
Indira Nagar,3,3,1407.0,560,120.0
Hennur Road,3,2,1482.0,519,97.0
Sector 7 HSR Layout,2,2,1163.0,1048,98.86
Jalahalli,3,3,1570.0,586,140.0
Whitefield,3,4,3480.0,1247,284.0
Chandapura,1,1,520.0,302,14.04
OLd Gurappanapalya,3,3,2000.0,883,160.0
Prithvi Layout,2,2,1352.0,936,75.0
Electronic City,2,2,1152.0,414,65.0
"ECC Road, Whitefield, ",3,3,1575.0,410,93.0
Hegde Nagar,3,4,1965.0,512,125.0
Ramanjaneyanagar,3,2,1300.0,989,70.0
Sarjapur  Road,4,4,1.0,1034,120.0
Marathahalli,2,2,957.0,796,47.0
Hoskote,3,3,1740.0,539,60.0
Kanakpura Road,5,6,1080.0,661,65.0
Neeladri Nagar,2,2,1060.0,871,35.0
Chikkadunnasandra,2,2,975.0,319,50.0
Ramamurthy Nagar,2,2,1150.0,985,51.0
Whitefield,3,2,1738.0,1247,79.0
Bommanahalli,3,3,1250.0,267,55.0
Bannerghatta Road,3,3,1788.0,214,90.0
Kanakapura,2,2,1151.0,655,59.0
Uttarahalli,3,2,1300.0,1174,60.0
Garudachar Palya,2,2,1150.0,440,52.8
Akshya Nagar,2,2,1380.0,100,75.0
Hebbal,3,3,1645.0,510,117.0
Babusapalaya,2,2,1141.0,179,45.9
7th Phase JP Nagar,2,2,1175.0,70,82.5
Banashankari Stage V,3,2,1355.0,202,61.0
Dasarahalli,2,2,1150.0,357,70.0
Indranagar  100ft road defence colony,5,5,5800.0,565,80.0
Canara Bank Colony,2,2,1000.0,293,45.0
Balagere,2,2,1007.0,186,65.0
Wajid layout thanisandra,4,5,3000.0,1242,100.0
Kothanur,3,3,1436.0,713,70.0
Marathahalli,4,4,4000.0,796,220.0
Somasundara Palya,3,3,2372.0,1084,140.0
R.T. Nagar,6,6,1500.0,943,240.0
Rajaji Nagar,2,2,1200.0,971,150.0
Rayasandra,2,2,1016.0,994,58.0
Dodda Nekkundi,2,2,1100.0,379,48.0
B Channasandra,2,2,1080.0,156,45.0
Electronic City,2,2,1070.0,414,60.0
Kadubeesanahalli,3,3,1532.0,631,115.0
Hennur,2,2,1040.0,515,42.12
Laxmi Sagar Layout,3,3,3100.0,752,250.0
Tumkur Road,2,2,1137.5,1163,48.905
Thanisandra,3,2,1430.0,1143,51.6
Rajaji Nagar,2,1,1160.0,971,163.0
ITPL,4,5,3262.0,554,205.0
Achins Road,7,7,2100.0,86,410.0
Uvce Layout,2,2,1190.0,1175,100.0
Panduranga Nagar,3,3,1827.0,911,100.0
HRBR Layout,2,2,1210.0,490,75.0
New Thippasandra,3,3,1500.0,877,95.0
Rachenahalli,2,2,1050.0,959,53.5
Hebbal,2,2,1251.0,510,88.73
HSR Layout,3,2,1600.0,491,115.0
Electronic City,2,2,1128.0,414,65.5
Budigere,3,3,1820.0,276,93.0
Thigalarapalya,3,4,2072.0,1148,159.0
Raja Rajeshwari Nagar,3,2,1510.0,967,59.0
Hoodi,3,2,1925.0,527,114.0
Hennur Road,3,2,2651.0,519,225.0
Thigalarapalya,3,4,2072.0,1148,147.0
Kumaraswami Layout,2,2,1000.0,724,36.0
KR Puram,3,3,1752.0,623,145.0
Sahakara Nagar,2,2,960.0,1020,56.0
Gattigere,2,2,1180.0,442,63.0
Benson Town,3,3,2270.0,240,180.0
NRI Layout,2,2,650.0,837,59.0
Lakshminarayana Pura,2,2,1200.0,742,75.0
Bisuvanahalli,3,2,1180.0,266,46.0
Roopena Agrahara,3,3,1300.0,1003,47.0
Bannerghatta Road,2,2,1157.0,214,40.0
Kanakpura Road,3,3,1300.0,661,69.0
Banashankari Stage III,3,2,1305.0,201,59.0
Hegde Nagar,3,4,2006.0,512,196.0
Jakkur,2,2,1290.0,581,80.0
Hoskote,2,2,1170.0,539,45.0
Cottonpet,4,2,971.0,344,135.0
Yelachenahalli,2,2,1400.0,1255,78.0
Lakshminarayana Pura,2,2,1200.0,742,75.0
Kamakshipalya,3,2,1155.0,644,60.0
Hormavu,3,3,1725.0,532,85.0
Kanakpura Road,2,2,700.0,661,40.0
Yemlur,4,5,7000.0,1260,2050.0
Hoodi,2,2,1112.0,527,88.0
Somasundara Palya,2,2,1178.0,1084,78.0
Badavala Nagar,2,2,1274.0,180,81.0
Doddathoguru,2,2,915.0,393,32.0
6th Phase JP Nagar,8,6,1650.0,65,135.0
Hosur Road,1,1,760.0,541,21.28
Maragondanahalli,3,3,1540.0,794,68.0
P&T Layout,2,2,1206.0,899,38.5
Basavanna Nagar,3,3,1645.0,222,95.0
Canara Bank Layout,4,4,1200.0,294,170.0
singapura paradise,4,4,1200.0,1293,140.0
Nehru Nagar,4,3,2342.0,874,115.0
Kannur,3,2,1200.0,663,55.0
Yelenahalli,2,2,1056.0,1259,33.0
Raja Rajeshwari Nagar,8,8,4800.0,967,225.0
Kanakpura Road,3,3,1450.0,661,54.3
Thirumenahalli,2,2,1161.0,1151,36.69
Dollars Colony,2,2,1097.0,396,65.0
Uttarahalli,2,2,850.0,1174,35.0
Green Glen Layout,3,3,1715.0,471,115.0
Basavangudi,3,3,2300.0,221,317.0
Electronic City,2,2,1200.0,414,59.0
8th Phase JP Nagar,2,2,1080.0,72,38.0
Kasavanhalli,2,2,1200.0,667,50.3
4th Block Koramangala,4,4,2400.0,55,550.0
Banashankari,3,2,1400.0,192,78.0
Whitefield,4,4,1500.0,1247,200.0
Kanakpura Road,1,1,458.0,661,19.695
Marathahalli,2,2,1230.0,796,57.0
Kalyan nagar,3,3,1640.0,643,88.0
Banashankari,3,3,1700.0,192,125.0
Bommasandra,3,2,1478.0,268,44.0
Defence Colony,4,4,6600.0,359,986.0
Banashankari,2,2,1020.0,192,40.79
Nagarbhavi,2,2,1200.0,844,150.0
Yelahanka,3,2,1275.0,1256,95.0
Cambridge Layout,4,3,1600.0,292,165.0
Kanakapura,2,2,1110.0,655,38.85
Uttarahalli,3,3,1627.86,1174,88.0
Byagadadhenahalli,2,2,620.0,279,22.0
Whitefield,4,4,3004.0,1247,285.0
Hosa Road,2,2,1133.0,533,52.0
Hennur Road,2,2,1182.0,519,82.5
Tumkur Road,3,3,1500.0,1163,100.0
Hebbal Kempapura,4,5,3900.0,511,360.0
Marathahalli,2,2,1200.0,796,58.0
Raja Rajeshwari Nagar,2,2,1128.0,967,48.79
Malleshwaram,3,2,2345.0,783,293.0
Jayanagar,2,2,900.0,597,110.0
Amruthahalli,2,2,1100.0,112,45.0
Kengeri Satellite Town,2,1,635.0,687,22.0
Ardendale,4,3,2062.0,137,140.0
Thanisandra,3,4,1874.0,1143,130.0
Vidyaranyapura,4,3,600.0,1211,78.0
Old Madras Road,2,2,1171.0,891,75.0
Sarjapur,3,3,2020.0,1033,85.0
8th Phase JP Nagar,2,2,1059.0,72,34.5
Panathur,3,2,1315.0,909,59.1
Jakkur,3,3,1760.0,581,110.0
Sampangi Rama Nagar,2,2,1200.0,1024,125.0
Hennur Road,3,2,1192.0,519,62.0
Hebbal,3,3,1645.0,510,121.0
Whitefield,2,2,1250.0,1247,72.0
Whitefield,1,1,709.0,1247,34.385
Whitefield,2,2,1340.0,1247,77.0
Cooke Town,3,4,2388.0,343,239.0
Hosa Road,2,2,1369.1,533,104.0
Jalahalli West,2,2,1355.0,588,75.0
Bannerghatta Road,2,2,1150.0,214,65.0
Kanakapura,3,3,1938.0,655,113.0
Begur Road,4,4,2462.0,230,124.0
Budigere,3,3,1636.0,276,85.0
Akshaya Nagar,3,2,1430.0,96,75.0
BEML Layout 5th stage,3,3,2000.0,169,85.0
Electronic City Phase II,3,2,993.0,416,50.0
Laggere,4,4,1260.0,736,150.0
Kanakpura Road,3,3,1700.0,661,88.0
Yelahanka,2,2,1270.0,1256,78.0
Anjanapura,3,3,1500.0,127,121.0
Koramangala,3,3,2300.0,710,290.0
Hunasamaranahalli,4,4,7500.0,548,900.0
Marathahalli,3,3,1650.0,796,86.45
Panathur,2,2,1109.0,909,63.0
Pragathi Nagar,2,2,1280.0,927,49.75
Sarjapur,4,3,2885.0,1033,185.0
Banashankari,9,9,1200.0,192,145.0
Devanahalli,3,3,1600.0,362,180.0
Kothanur,3,3,1462.0,713,71.0
Marathahalli,1,1,607.0,796,35.0
Kammasandra,2,2,930.0,651,25.0
Varthur,4,5,4500.0,1185,300.0
Sahakara Nagar,5,5,1200.0,1020,160.0
Malleshwaram,3,3,2600.0,783,237.0
JP Nagar,4,4,3000.0,572,140.0
Electronic City Phase II,3,3,1418.0,416,52.47
Ramesh Nagar,2,1,4200.0,992,160.0
EPIP Zone,2,2,1125.0,412,65.0
CV Raman Nagar,3,3,1825.0,290,126.0
Whitefield,2,2,1320.0,1247,79.5
JP Nagar,4,4,3000.0,572,140.0
HAL 2nd Stage,3,2,1490.0,483,300.0
8th block Koramangala,4,3,1650.0,73,300.0
Whitefield,2,2,750.0,1247,52.7
Yelahanka,3,2,1400.0,1256,80.54
Sathya Sai Layout,4,4,4104.0,1041,360.0
Rajaji Nagar,4,4,5000.0,971,375.0
Mahadevpura,5,4,3295.0,770,260.0
A Narayanapura,4,3,1150.0,76,110.0
Whitefield,3,3,1200.0,1247,61.96
Poorna Pragna Layout,2,2,965.0,923,48.0
Gottigere,1,1,812.0,463,26.0
KR Puram,2,2,1100.0,623,43.0
Whitefield,2,2,1180.0,1247,41.0
HSR Layout,2,2,1145.0,491,48.0
Haralur Road,2,2,1027.0,503,44.0
Silk Board,2,2,1215.0,1074,49.85
Hegde Nagar,2,2,1200.0,512,75.0
Kenchenahalli,2,2,1015.0,683,58.0
Kaggalipura,3,3,2400.0,635,165.0
Whitefield,4,4,3000.0,1247,306.0
7th Phase JP Nagar,3,4,3300.0,70,160.0
Puttanahalli,2,2,1076.0,940,52.0
JP Nagar,2,2,1300.0,572,109.0
Hebbal Kempapura,2,2,1300.0,511,102.0
Hosa Road,3,3,1512.0,533,123.0
Bhoganhalli,3,3,1053.4,250,88.91
Yeshwanthpur,1,1,605.0,1262,41.745
Hormavu,2,2,1153.0,532,65.0
Virat Nagar,2,2,2080.0,1225,150.0
Hulimavu,2,2,1255.0,546,69.0
Marathahalli,3,3,1583.0,796,109.0
Kundalahalli Colony,2,2,1505.0,729,90.0
Kathriguppe,3,2,1365.0,672,75.08
Dwarka Nagar,3,3,1200.0,409,95.75
Amblipura,3,4,1810.0,109,148.0
Magadi Road,1,1,440.0,769,35.0
Subramanyapura,2,2,975.0,1110,63.0
Doddagubbi,2,2,1250.0,386,39.0
Gopalkrishna Nagar,3,2,1530.0,461,97.0
Kereguddadahalli,3,2,1300.0,691,39.0
Channasandra,2,2,1115.0,304,40.0
Sarjapur  Road,2,2,1308.0,1034,83.0
Parappana Agrahara,2,2,1194.0,913,47.0
Uttarahalli,3,2,1490.0,1174,59.6
Bannerghatta Road,4,4,10000.0,214,450.0
Sarjapur  Road,3,3,1592.0,1034,91.0
Rajaji Nagar,2,2,1222.0,971,112.0
Raja Rajeshwari Nagar,2,2,1267.0,967,42.85
